"ID","CS_helpful","Recommend","Come_again","All_Products","Profesionalism","Limitation","Online_grocery","delivery","Pick_up","Find_items","other_shops","Gender","Age","Education","Satisfaction_Total"
1,2,2,2,2,2,2,2,3,4,1,2,"Male","2","Secondary",2.18181818181818
2,1,2,1,1,1,1,2,3,3,1,2,"Male","2","Secondary",1.63636363636364
3,2,1,1,1,1,2,3,3,2,1,3,"Male","2","Secondary",1.81818181818182
4,3,3,2,4,1,2,3,3,2,2,2,"Male","3","Postgrad",2.45454545454545
5,2,1,3,5,2,1,2,3,1,2,3,"Female","4","Secondary",2.27272727272727
6,1,1,3,2,1,1,1,2,1,1,4,"Male","2","Postgrad",1.63636363636364
7,2,1,1,2,2,1,2,2,2,1,1,"Male","2","HighSchool",1.54545454545455
8,1,1,1,2,1,2,1,1,2,2,4,"Male","2","Secondary",1.63636363636364
9,1,1,1,2,2,1,2,1,3,1,1,"Female","2","Primary",1.45454545454545
10,1,1,1,1,1,1,3,2,2,1,1,"Female","2","Secondary",1.36363636363636
11,1,1,1,2,1,1,2,2,2,1,3,"Female","4","Postgrad",1.54545454545455
12,1,1,1,2,1,1,3,2,3,1,3,"Male","3","Primary",1.72727272727273
13,1,1,1,1,1,1,1,2,2,1,1,"Male","4","Postgrad",1.18181818181818
14,1,1,1,2,1,1,3,3,3,3,1,"Male","3","Postgrad",1.81818181818182
15,1,1,1,4,1,1,2,2,2,2,5,"Male","2","Postgrad",2
16,1,1,2,2,1,1,3,1,3,1,5,"Male","3","Postgrad",1.90909090909091
17,1,1,1,2,1,2,2,3,5,2,5,"Male","2","Primary",2.27272727272727
18,2,1,1,1,1,3,3,3,3,1,2,"Male","2","Postgrad",1.90909090909091
19,3,1,2,3,2,4,1,3,1,3,2,"Female","2","Secondary",2.27272727272727
20,2,3,3,1,3,1,3,3,1,1,4,"Female","2","HighSchool",2.27272727272727
21,2,1,1,2,2,1,3,3,4,1,2,"Male","2","Secondary",2
22,3,2,1,2,2,2,3,3,3,2,1,"Male","2","Postgrad",2.18181818181818
